time,pid,rss,cpu,cpu_affinity,fault_flag
2023-06-05 17:19:00,145784,3758096384,717.4,145784,0
2023-06-05 17:19:00,145740,3758096384,710.7,145740,0
2023-06-05 17:19:00,145751,3758096384,683.3,145751,0
2023-06-05 17:19:00,145817,3758096384,664.6,145817,0
2023-06-05 17:19:00,145890,3758096384,584.6,145890,0
2023-06-05 17:19:00,145923,3758096384,541.4,145923,0
2023-06-05 17:19:00,145730,2469606195,296.6,145730,1
2023-06-05 17:20:00,145854,3758096384,742.2,145854,0
2023-06-05 17:20:00,145784,3758096384,739.0,145784,0
2023-06-05 17:20:00,145751,3758096384,707.2,145751,0
2023-06-05 17:20:00,145740,3758096384,699.0,145740,0
2023-06-05 17:20:00,145817,3758096384,668.4,145817,0
2023-06-05 17:20:00,145923,3758096384,641.4,145923,0
2023-06-05 17:20:00,145890,3758096384,627.6,145890,0
2023-06-05 17:20:00,145730,2469606195,287.6,145730,1
2023-06-05 17:21:00,145854,3758096384,765.7,145854,0
2023-06-05 17:21:00,145817,3758096384,731.3,145817,0
2023-06-05 17:21:00,145740,3758096384,722.8,145740,0
2023-06-05 17:21:00,145751,3758096384,711.2,145751,0
2023-06-05 17:21:00,145784,3758096384,702.2,145784,0
2023-06-05 17:21:00,145923,3758096384,606.9,145923,0
2023-06-05 17:21:00,145890,3758096384,598.3,145890,0
2023-06-05 17:21:00,145730,2469606195,295.7,145730,1
2023-06-05 17:22:00,145854,3758096384,751.6,145854,0
2023-06-05 17:22:00,145784,3758096384,730.8,145784,0
2023-06-05 17:22:00,145740,3650722201,723.1,145740,0
2023-06-05 17:22:00,145817,3650722201,718.4,145817,0
2023-06-05 17:22:00,145751,3758096384,674.3,145751,0
2023-06-05 17:22:00,145923,3758096384,594.1,145923,0
2023-06-05 17:22:00,145890,3758096384,592.4,145890,0
2023-06-05 17:22:00,145730,2469606195,291.3,145730,1
2023-06-05 17:23:00,145854,3758096384,749.8,145854,0
2023-06-05 17:23:00,145751,3758096384,705.5,145751,0
2023-06-05 17:23:00,145817,3758096384,698.1,145817,0
2023-06-05 17:23:00,145784,3758096384,697.6,145784,0
2023-06-05 17:23:00,145740,3758096384,668.5,145740,0
2023-06-05 17:23:00,145890,3758096384,572.3,145890,0
2023-06-05 17:23:00,145923,3758096384,561.4,145923,0
2023-06-05 17:23:00,145730,2469606195,294.6,145730,1
2023-06-05 17:24:00,145784,3758096384,724.9,145784,0
2023-06-05 17:24:00,145854,3758096384,713.0,145854,0
2023-06-05 17:24:00,145740,3758096384,705.9,145740,0
2023-06-05 17:24:00,145751,3758096384,695.1,145751,0
2023-06-05 17:24:00,145817,3758096384,680.4,145817,0
2023-06-05 17:24:00,145923,3758096384,640.3,145923,0
2023-06-05 17:24:00,145890,3758096384,602.0,145890,0
2023-06-05 17:24:00,145730,2469606195,296.2,145730,1
2023-06-05 17:25:00,145817,3758096384,838.3,145817,0
2023-06-05 17:25:00,145751,3758096384,801.4,145751,0
2023-06-05 17:25:00,145784,3543348019,795.9,145784,0
2023-06-05 17:25:00,145854,3543348019,790.4,145854,0
2023-06-05 17:25:00,145740,3543348019,754.0,145740,0
2023-06-05 17:25:00,145923,3758096384,673.8,145923,0
2023-06-05 17:25:00,145890,3758096384,641.3,145890,0
2023-06-05 17:25:00,145730,2469606195,415.7,145730,1
2023-06-05 17:26:00,145730,3650722201,1175.0,145730,0
2023-06-05 17:26:00,145784,2362232012,1173.0,145784,0
2023-06-05 17:26:00,145751,3758096384,1172.0,145751,0
2023-06-05 17:26:00,145817,3758096384,1138.0,145817,0
2023-06-05 17:26:00,145740,2362232012,1112.0,145740,0
2023-06-05 17:26:00,145854,2469606195,1098.0,145854,0
2023-06-05 17:26:00,145923,3758096384,1092.0,145923,0
2023-06-05 17:26:00,145890,3758096384,1041.0,145890,0
2023-06-05 17:27:00,145730,3758096384,1221.0,145730,0
2023-06-05 17:27:00,145751,3758096384,1186.0,145751,0
2023-06-05 17:27:00,145817,3758096384,1167.0,145817,0
2023-06-05 17:27:00,145784,2576980377,1163.0,145784,0
2023-06-05 17:27:00,145740,2362232012,1129.0,145740,0
2023-06-05 17:27:00,145854,2469606195,1093.0,145854,0
2023-06-05 17:27:00,145923,3758096384,1091.0,145923,0
2023-06-05 17:27:00,145890,3758096384,1051.0,145890,0
2023-06-05 17:28:00,145751,3758096384,1275.0,145751,0
2023-06-05 17:28:00,145730,3758096384,1250.0,145730,0
2023-06-05 17:28:00,145784,3221225472,1241.0,145784,0
