name,mac_tx_pfc_pkt_num,mac_rx_pfc_pkt_num,roce_rx_rc_pkt_num,roce_rx_all_pkt_num,roce_tx_rc_pkt_num,roce_tx_all_pkt_num,label,t_congestion_index,r_congestion_index
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.11_NPU7,1.5572166154493797e-06,0.0008133422489465871,0.9997622308638148,0.9997622308638148,1.000586940895973,1.000586940895973,0,0.0008135250525900774,1.5563234931213906e-06
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.12_NPU0,0.0001890967132425572,0.0006356315561007003,0.9996337837494008,0.9996337837494008,1.0001010433052477,1.0001010433052477,0,0.0006360529383700695,0.00018902156790354344
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.12_NPU1,4.2483138474645975e-05,0.0007071680633477988,0.9992212436772041,0.9992212436772041,0.9998958759275256,0.9998958759275256,0,0.0007079106413218071,4.247607272756402e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.12_NPU2,0.0001495317272956068,0.0006219488449253984,0.9993130381808867,0.9993130381808867,0.9997952943279602,0.9997952943279602,0,0.0006225140793447456,0.00014952926385247792
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.12_NPU3,0.000331411891527638,0.0006386591218427392,0.9992950089012348,0.9992950089012348,0.9996119693533951,0.9996119693533951,0,0.0006393003715929372,0.000331441651346252
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.12_NPU4,4.490379700692611e-05,0.0006647234385777145,0.9992726611950303,0.9992726611950303,0.9999021484883928,0.9999021484883928,0,0.0006653843170321876,4.4896242039193773e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.12_NPU5,3.7249091588990354e-05,0.0008652346665053146,0.9990678364696154,0.9990678364696154,0.9999056011746548,0.9999056011746548,0,0.000866276609565494,3.7242517492112774e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.12_NPU6,0.00017510041697099476,0.000655815942720887,0.9992766004645606,0.9992766004645606,0.9997678037282979,0.9997678037282979,0,0.0006564154673590864,0.00017510779518249662
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.12_NPU7,7.86610022988791e-05,0.000795000228581937,0.9991352629092618,0.9991352629092618,0.9998609374310221,0.9998609374310221,0,0.0007958988969217517,7.865112480802533e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.13_NPU0,1.1710152241952077e-05,0.0006963564429414641,0.9995223138181216,0.9995223138181216,1.000217023865451,1.000217023865451,0,0.000696699370249512,1.17074412078194e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.13_NPU1,2.2712777465450277e-05,0.0006574952529948633,0.9992721966050973,0.9992721966050973,0.9999172560005083,0.9999172560005083,0,0.0006580172298716529,2.27131691244128e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.13_NPU2,5.856347088058513e-06,0.0007465925504425713,0.9991903074247352,0.9991903074247352,0.9999407286190318,0.9999407286190318,0,0.0007474042857679339,5.855074237354866e-06
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.13_NPU3,2.200305450005409e-05,0.0005927253095636209,0.9996220717067736,0.9996220717067736,1.0002031100674171,1.0002031100674171,0,0.0005929326582426017,2.1999207578251006e-05
